PLAYLIST_ID,PLAY_TYPE,AIRDATE,ALBUM,ARTIST,SONG,SHOW_ID,PROGRAM_ID,PROGRAM_NAME,PROGRAM_TAGS,HOST_NAMES,TAGLINE,START_TIME,RELEASE_DATE
2996091,"trackplay","2022-01-29 11:09:52.000 -0800","\N","Mikey Murka","Ride the Rhythm",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996090,"trackplay","2022-01-29 11:05:08.000 -0800","\N","Young Kulcha","Days are Grey",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996088,"trackplay","2022-01-29 11:04:23.000 -0800","\N","Bobby Kalphat","Azar",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996087,"trackplay","2022-01-29 10:58:28.000 -0800","\N","Beres Hammond","Mi Deyah Again",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996086,"trackplay","2022-01-29 10:56:10.000 -0800","\N","Buju Banton","Things a Come Up",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996085,"trackplay","2022-01-29 10:54:12.000 -0800","\N","Gappy Ranks","Stinkin' Rich",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996084,"trackplay","2022-01-29 10:51:11.000 -0800","\N","Koffee","The Harder They Fall",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996083,"trackplay","2022-01-29 10:49:07.000 -0800","\N","Garnet Silk","Marley Medley",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996081,"trackplay","2022-01-29 10:44:42.000 -0800","\N","Freddie McGregor","Bobby Bobylon",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996080,"trackplay","2022-01-29 10:44:21.000 -0800","\N","Al Campbell","You're the One",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996079,"trackplay","2022-01-29 10:43:39.000 -0800","\N","Tommy McCook","Beirut Version",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996077,"trackplay","2022-01-29 10:35:47.000 -0800","\N","Bitty McLean","Baby Tonight remix",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996076,"trackplay","2022-01-29 10:33:58.000 -0800","\N","Aleighcia Scott","Forever in Love",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996075,"trackplay","2022-01-29 10:30:22.000 -0800","\N","Peter Spence","The Border",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996074,"trackplay","2022-01-29 10:27:45.000 -0800","\N","Gregory Isaacs","The Border",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996073,"trackplay","2022-01-29 10:25:21.000 -0800","\N","Wailing Souls & Alborosie","Shark Attack",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996072,"trackplay","2022-01-29 10:25:06.000 -0800","\N","Alborosie","Shark Attack Dub",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996070,"trackplay","2022-01-29 10:18:21.000 -0800","\N","Perfect Giddimani","Nigerian Girl",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996069,"trackplay","2022-01-29 10:14:31.000 -0800","\N","Bob Marley & The Wailers","Misty Morning",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996068,"trackplay","2022-01-29 10:11:23.000 -0800","History Say","Clinton Fearon","Why Worry",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996067,"trackplay","2022-01-29 10:07:17.000 -0800","\N","Biblical","Praise the All Mighty",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996066,"trackplay","2022-01-29 10:04:42.000 -0800","\N","Hugh Mundell","Book of Life",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996065,"trackplay","2022-01-29 10:03:21.000 -0800","\N","Jacob Miller","Keep On Knocking",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996064,"trackplay","2022-01-29 10:03:08.000 -0800","\N","Augustus Pablo","Knocking Version",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996063,"trackplay","2022-01-29 09:59:33.000 -0800","\N","John Holt","It's a Jam in the Streets",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996061,"trackplay","2022-01-29 09:52:05.000 -0800","\N","Max Romeo","Melt Away",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996060,"trackplay","2022-01-29 09:49:25.000 -0800","\N","Lloyd Parks","Slaving (Steppers cut)",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996059,"trackplay","2022-01-29 09:45:49.000 -0800","\N","Winston Jarrett","True Born African",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996057,"trackplay","2022-01-29 09:41:30.000 -0800","\N","Horace Andy","Night Owl",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996056,"trackplay","2022-01-29 09:39:32.000 -0800","\N","The Bassies","Things a Come Up to Bump",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996055,"trackplay","2022-01-29 09:37:19.000 -0800","\N","Soul Vendors","Things a Come Up Version",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996053,"trackplay","2022-01-29 09:34:58.000 -0800","\N","Dillinger","Take a Dip",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
2996052,"trackplay","2022-01-29 09:32:58.000 -0800","\N","Gregory Isaacs","Slavemaster",52745,7,"Positive Vibrations","Reggae,World","[""Kid Hops""]","","2022-01-29 09:00:27.000 -0800","\N"
